friend,title,year,rating,tags
narmacil,Powrót do przysz³oœci III,1990,5,"['Komedia', 'Przygodowy', 'Sci-Fi']"
narmacil,Powrót do przysz³oœci II,1989,7,"['Komedia', 'Przygodowy', 'Sci-Fi']"
narmacil,Frank,2014,7,"['Dramat', 'Komedia']"
narmacil,Wszyscy ludzie prezydenta,1976,7,"['Dramat', 'Thriller', 'Polityczny']"
narmacil,Don Jon,2013,6,"['Dramat', 'Komedia']"
narmacil,Bliskie spotkania trzeciego stopnia,1977,4,"['Dramat', 'Przygodowy', 'Sci-Fi']"
narmacil,Geneza planety ma³p,2011,2,"['Dramat', 'Akcja', 'Sci-Fi']"
narmacil,Annie Hall,1977,6,['Komedia obycz.']
narmacil,Lokator,1976,9,"['Thriller', 'Psychologiczny']"
narmacil,"X-Men: Przesz³oœæ, która nadejdzie",2014,3,"['Akcja', 'Sci-Fi']"
narmacil,Kuzyni,1959,8,['Dramat']
narmacil,Wszystko o Ewie,1950,9,['Dramat']
narmacil,Godzilla,2014,4,"['Akcja', 'Sci-Fi']"
narmacil,Snowpiercer: Arka przysz³oœci,2013,5,"['Thriller', 'Akcja', 'Sci-Fi']"
narmacil,Locke,2013,7,"['Dramat', 'Thriller']"
narmacil,Noe: Wybrany przez Boga,2014,6,"['Dramat', 'Fantasy']"
narmacil,Grand Budapest Hotel,2014,9,"['Dramat', 'Komedia']"
narmacil,Cz³owiek z ksiê¿yca,1999,8,"['Biograficzny', 'Dramat', 'Komedia']"
narmacil,Powrót do przysz³oœci,1985,8,"['Komedia', 'Przygodowy', 'Sci-Fi']"
